id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2026-01-22 14:03:28,"{""short_code"":""VjrESU"",""original_url"":""https://example.com/jade/field/1""}"
2,2,62,created,2025-11-23 00:08:15,"{""short_code"":""xQie2F"",""original_url"":""https://hackstack.io/young/window/2""}"
3,3,85,created,2025-08-15 07:48:36,"{""short_code"":""z4LpvW"",""original_url"":""https://acme.dev/calm/yard/3""}"
4,4,152,created,2025-10-14 15:46:05,"{""short_code"":""PAkpq8"",""original_url"":""https://opswise.net/forest/pioneer/4""}"
5,5,184,created,2026-01-27 01:39:24,"{""short_code"":""fUneS3"",""original_url"":""https://seeded.app/vivid/lagoon/5""}"
6,6,268,created,2025-12-07 04:32:02,"{""short_code"":""leSimT"",""original_url"":""https://hackstack.io/amber/beacon/6""}"
7,7,31,created,2026-02-20 05:48:01,"{""short_code"":""EbgQt2"",""original_url"":""https://seeded.app/jade/lagoon/7""}"
8,8,344,created,2025-09-22 16:36:38,"{""short_code"":""xKYyd5"",""original_url"":""https://acme.dev/navy/signal/8""}"
9,9,221,created,2025-10-06 00:02:35,"{""short_code"":""JDp2i2"",""original_url"":""https://seeded.app/tidy/lagoon/9""}"
10,10,58,created,2025-02-20 10:36:01,"{""short_code"":""w8RMyV"",""original_url"":""https://seeded.app/dawn/quartz/10""}"
11,11,215,created,2025-04-05 01:52:00,"{""short_code"":""yIO7rS"",""original_url"":""https://seeded.app/quiet/canyon/11""}"
12,12,345,created,2025-12-03 21:11:42,"{""short_code"":""hWC00I"",""original_url"":""https://example.com/keen/canyon/12""}"
13,13,52,created,2026-01-30 23:20:52,"{""short_code"":""KuMile"",""original_url"":""https://hackstack.io/urban/field/13""}"
14,14,281,created,2025-06-18 00:44:55,"{""short_code"":""3uICUC"",""original_url"":""https://example.com/rapid/kernel/14""}"
15,15,137,created,2025-03-17 14:14:35,"{""short_code"":""QtlxNw"",""original_url"":""https://acme.dev/vivid/uplink/15""}"
16,16,59,created,2025-11-20 03:58:32,"{""short_code"":""jcLgOC"",""original_url"":""https://acme.dev/harbor/network/16""}"
17,17,182,created,2026-02-20 09:16:57,"{""short_code"":""EwQjgF"",""original_url"":""https://seeded.app/calm/yard/17""}"
18,18,64,created,2026-02-12 15:18:24,"{""short_code"":""ArwD3y"",""original_url"":""https://example.com/warm/field/18""}"
19,19,52,created,2025-02-15 16:04:59,"{""short_code"":""zDa6NI"",""original_url"":""https://hackstack.io/quiet/canyon/19""}"
20,20,353,created,2025-10-12 12:04:09,"{""short_code"":""cXVdeK"",""original_url"":""https://hackstack.io/tidy/window/20""}"
21,21,298,created,2025-08-30 13:14:27,"{""short_code"":""vTrpd7"",""original_url"":""https://hackstack.io/brisk/field/21""}"
22,22,205,created,2025-08-25 22:52:21,"{""short_code"":""HXE95C"",""original_url"":""https://hackstack.io/jade/zenith/22""}"
23,23,61,created,2025-02-19 08:39:33,"{""short_code"":""6N7Ewn"",""original_url"":""https://opswise.net/calm/engine/23""}"
24,24,152,created,2025-12-20 21:52:28,"{""short_code"":""SvUJMV"",""original_url"":""https://example.com/mellow/meadow/24""}"
25,25,71,created,2025-03-10 07:46:11,"{""short_code"":""1SfdbI"",""original_url"":""https://seeded.app/silver/network/25""}"
26,26,325,created,2025-12-31 13:58:24,"{""short_code"":""fh8q5o"",""original_url"":""https://hackstack.io/brisk/signal/26""}"
27,27,392,created,2025-09-22 21:41:42,"{""short_code"":""RTofW6"",""original_url"":""https://hackstack.io/young/uplink/27""}"
28,28,55,created,2025-12-03 04:28:56,"{""short_code"":""gVy5eM"",""original_url"":""https://example.com/keen/anchor/28""}"
29,29,215,created,2025-11-03 08:38:53,"{""short_code"":""1SE1wE"",""original_url"":""https://hackstack.io/opal/anchor/29""}"
30,30,388,created,2025-04-11 09:33:01,"{""short_code"":""g5tjeg"",""original_url"":""https://acme.dev/navy/yard/30""}"
31,31,224,created,2025-04-15 15:27:31,"{""short_code"":""HjprvQ"",""original_url"":""https://relay.cloud/amber/pioneer/31""}"
